Listen port 8000
2013-06-10 15:41:49 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:41:50 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:41:50 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:41:50 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:41:51 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:41:51 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:41:52 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:42:20 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:21 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:21 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:22 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:42:22 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:42:22 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:42:23 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:42:24 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:42:24 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:24 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:25 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:26 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:26 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
2013-06-10 15:42:26 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,0,0']
